City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,freeport,40.6576,-73.5832,24.44,50,0,5.14,US,1695248862
147,paka,4.6374,103.4368,25.96,94,59,0.0,MY,1695248592
148,tyukalinsk,55.8732,72.1967,7.59,84,3,2.48,RU,1695248863
149,mermoz boabab,14.7065,-17.4758,27.88,89,20,2.06,SN,1695248712
150,dakhla,23.6848,-15.958,21.06,84,100,9.9,EH,1695248776
151,saipan,15.1355,145.701,29.39,84,40,5.66,MP,1695248864
152,mount gambier,-37.8333,140.7667,8.51,84,13,2.26,AU,1695248865
153,turkmenbasy,40.0222,52.9552,19.43,37,0,6.17,TM,1695248865
154,petropavlovsk-kamchatsky,53.0452,158.6483,10.33,62,75,6.0,RU,1695248866
155,naze,28.3667,129.4833,25.51,84,88,1.15,JP,1695248867
156,chonchi,-42.6128,-73.8092,9.56,78,100,0.79,CL,1695248867
157,vilyuchinsk,52.9306,158.4028,11.15,77,99,8.42,RU,1695248868
158,nabire,-3.3667,135.4833,24.62,93,93,0.37,ID,1695248868
159,fort st. john,56.2499,-120.8529,15.94,36,40,1.54,CA,1695248869
160,shache,38.4167,77.2406,20.95,18,97,2.49,CN,1695248869
161,quelimane,-17.8786,36.8883,22.97,94,0,1.03,MZ,1695248870
162,lihue,21.9789,-159.3672,28.77,69,75,5.66,US,1695248870
163,udachny,66.4167,112.4,0.25,86,63,4.22,RU,1695248871
164,ekibastuz,51.6667,75.3667,14.67,65,83,2.08,KZ,1695248871
165,ciudad guayana,8.3533,-62.6528,30.75,49,90,0.59,VE,1695248872
166,warangal,18.0,79.5833,24.72,91,100,2.41,IN,1695248872
167,glace bay,46.1969,-59.957,15.44,85,75,4.12,CA,1695248873
168,wynyard,-41.0,145.7167,6.66,82,3,3.14,AU,1695248873
169,san jose de mayo,-34.3375,-56.7136,14.83,96,100,5.73,UY,1695248874
170,kailua-kona,19.6406,-155.9956,28.98,71,40,5.14,US,1695248719
171,ivrindi,39.5839,27.4864,19.35,73,2,1.68,TR,1695248875
172,mil'kovo,55.6078,37.7956,17.51,56,99,4.98,RU,1695248876
173,sao paulo de olivenca,-3.3783,-68.8725,26.99,78,89,1.35,BR,1695248876
174,akureyri,65.6835,-18.0878,5.96,75,75,2.57,IS,1695248877
175,kamiiso,41.8167,140.65,15.21,88,75,1.54,JP,1695248877
176,jijiga,9.35,42.8,17.73,83,95,2.34,ET,1695248878
177,port lincoln,-34.7333,135.8667,12.82,73,0,4.12,AU,1695248878
178,penzance,50.1186,-5.5371,14.87,71,5,7.74,GB,1695248878
179,karlovy vary,50.2327,12.8712,17.58,93,0,1.03,CZ,1695248879
180,constantia,44.1833,28.65,18.38,72,11,2.39,RO,1695248879
181,belmonte,-15.8631,-38.8828,22.9,81,2,3.72,BR,1695248880
182,utrik,11.2278,169.8474,28.72,76,86,6.59,MH,1695248881
183,nacala,-14.5428,40.6728,23.04,88,63,2.12,MZ,1695248607
184,vorgashor,67.5833,63.95,7.76,98,100,5.35,RU,1695248882
185,morteros,-30.7116,-61.9986,17.79,82,75,2.67,AR,1695248882
186,chernigovka,44.3389,132.5728,7.62,78,0,1.45,RU,1695248883
187,sechura,-5.5569,-80.8222,25.62,59,41,7.94,PE,1695248883
188,okha,53.5739,142.9478,7.42,54,94,12.98,RU,1695248884
189,chu,43.5983,73.7614,14.05,63,36,3.29,KZ,1695248885
190,colonia,50.9333,6.95,19.34,70,0,2.57,DE,1695248799
191,riyadh,24.6877,46.7219,30.08,15,0,2.1,SA,1695248834
192,dampit,-8.2116,112.7493,18.01,93,21,1.88,ID,1695248888
193,tual,-5.6667,132.75,25.35,85,97,5.73,ID,1695248889
194,muisne,0.6,-80.0333,25.28,80,100,3.88,EC,1695248889
195,hasaki,35.7333,140.8333,25.22,88,11,4.09,JP,1695248890
196,mouila,-1.8685,11.0559,24.84,87,40,0.96,GA,1695248891
197,chegdomyn,51.1167,133.0167,4.17,77,89,0.97,RU,1695248891
198,kendari,-3.945,122.4989,21.56,90,46,1.27,ID,1695248892
199,novodvinsk,64.4165,40.8122,11.11,81,98,5.46,RU,1695248892
